wallet,transaction_count,incoming_count,outgoing_count,total_incoming_btc,total_outgoing_btc,avg_transaction_amount,avg_time_gap_minutes,unique_counterparties,fan_in,fan_out,unique_ips,unique_asns,rapid_transfer_ratio,split_ratio,merge_ratio,max_amount_ratio,outgoing_small_amount_ratio,asn_change_ratio,max_transactions_in_5min,peeling_chain_consistency
1fc277a4055cd4636a7b7b0eaf1a49f,26,11,15,0.44905988999999996,0.32024510000000006,0.02958865346153846,4599.9877240333335,17,6,11,33,6,0.0,0.4,0.0,6.795137631789707,0.06666666666666667,0.56,1,0.5
bc1qce0f8a3d51174660ac75736e947e32,33,18,15,0.5153942100000001,0.24553265999999996,0.02305839,4022.6833758963544,21,9,12,41,5,0.0,0.4666666666666667,0.1111111111111111,4.950860540646844,0.13333333333333333,0.6875,1,0.21428571428571427
1d0b46419a5384de6a8b83f7e6f5238,26,10,16,0.40991784,0.25498295,0.025573107307692307,5070.620520086666,21,7,14,32,4,0.0,0.625,0.1,4.653747244984698,0.1875,0.44,1,0.4666666666666667
19f4ca72061714743baecd88a21f90b,31,16,15,0.28049910999999994,1.9457771699999997,0.07181536387096774,4325.413038464444,18,4,14,36,3,0.0,0.3333333333333333,0.0,1.453089068340128,0.06666666666666667,0.6333333333333333,1,0.35714285714285715
12114adc3d5974a40907bd183bd2770,31,19,12,0.43257354000000003,0.92593703,0.04382292161290322,3854.2665402544444,15,7,8,39,6,0.0,0.4166666666666667,0.0,1.4942612289789472,0.0,0.8,1,0.45454545454545453
31acaef4aa8664064819f1e2e89e297,59,14,45,0.35176047,5.387776149999999,0.09728028169491526,2154.4059654359194,50,10,40,67,5,0.5,0.5333333333333333,0.14285714285714285,1.6281440379174101,0.06666666666666667,0.3448275862068966,8,0.4090909090909091
bc1q16905d5cb16f4cb68e2728e8a2c92d,30,16,14,0.64959665,0.7443409599999999,0.046464587,4258.700740708621,25,10,15,37,6,0.034482758620689655,0.5,0.1875,2.1284500701488316,0.0,0.6206896551724138,2,0.46153846153846156
bc1qd3d061d8d16e444fab63ef85bd0bbf,38,19,19,0.49537363,1.11621564,0.04241024394736842,3516.6277396977475,30,12,18,47,6,0.0,0.5263157894736842,0.15789473684210525,1.4972050808065804,0.10526315789473684,0.7027027027027027,1,0.2777777777777778
18ba1c6c3deec4e55a789c783310411,25,18,7,0.7629082199999999,0.27446994,0.0414951264,5108.128515145138,15,10,5,34,5,0.0,0.2857142857142857,0.1111111111111111,1.774344886756862,0.2857142857142857,0.7083333333333334,1,0.3333333333333333
18bb7d4e8cf2e417389f550ccb420af,28,15,13,1.0774923900000002,0.0936861,0.04182780321428571,4760.070052798766,20,8,12,34,6,0.0,0.46153846153846156,0.13333333333333333,22.066618458719926,0.0,0.7037037037037037,1,0.5
16f7c1bab446b42fe97ce79d9ec8107,24,7,17,0.44873686,0.38946459,0.03492506041666667,5316.628395421739,15,2,13,27,2,0.0,0.5294117647058824,0.0,4.2748645995024495,0.058823529411764705,0.30434782608695654,1,0.4375
1d7ef495fbdcb468a8ad3ae131ae754,39,12,27,0.54666646,0.5671410800000001,0.028559167692307694,3174.7653756951754,31,7,24,45,5,0.0,0.5925925925925926,0.16666666666666666,5.257723782038293,0.1111111111111111,0.39473684210526316,1,0.5
17b199c4ca46c43b0b36f0c7c35d654,22,12,10,0.3589778,1.4897025199999998,0.08403092363636364,5980.773498859524,9,3,6,25,2,0.0,0.3,0.08333333333333333,1.3581465231588834,0.1,0.14285714285714285,1,0.6666666666666666
3ec31d5e603004ea69dbb553c8caed0,15,5,10,0.59162128,0.23755256,0.055278256,7963.8518574702375,14,3,11,19,4,0.0,0.7,0.0,9.044321895338118,0.1,0.5,1,0.3333333333333333
bc1qec86cd39688f44d38f3af3af54d7b3,24,8,16,0.18319055,0.42383034999999997,0.0252925375,5507.332423830435,18,5,13,30,5,0.0,0.375,0.0,3.252823868360901,0.0,0.4782608695652174,1,0.4666666666666667
bc1q4cff80857fb746a99add9327ac9c50,26,13,13,1.31060231,0.41147844,0.066233875,5290.369310818666,19,5,14,30,3,0.0,0.6153846153846154,0.07692307692307693,6.6285860651297135,0.0,0.56,1,0.3333333333333333
bc1q1db11c054d424eb1ab8a3f2e47da63,30,16,14,0.58662693,0.73346799,0.044003164000000004,4458.886142217816,23,8,15,37,6,0.0,0.7142857142857143,0.125,2.4135461675489713,0.07142857142857142,0.6896551724137931,1,0.5384615384615384
1d6e6f236f3604f4ea93e039721a472,29,19,10,0.7694410100000001,0.12125303,0.030713587586206896,4290.62049926131,26,15,11,40,9,0.0,0.6,0.15789473684210525,5.590802423043124,0.0,0.7857142857142857,1,0.1111111111111111
bc1q87cea6d8b01d409b833397d1f3f0e3,34,29,5,2.2524889500000005,0.20935784000000002,0.07240725852941177,3963.619548879798,15,12,3,43,7,0.0,0.4,0.13793103448275862,3.8149216696174686,0.4,0.9090909090909091,1,0.5
39ffbddacdd694214b87ba9d837b0e3,43,38,5,2.18391577,0.09528726000000001,0.05300472162790698,2976.200772102381,19,17,2,53,5,0.0,0.2,0.15789473684210525,15.66182499556478,0.0,0.6666666666666666,1,0.5
bc1q7f38935a6b3247169dd1afe34e1391,36,18,18,0.3973313599999999,0.9435421900000001,0.0372464875,3649.965596049524,22,10,12,44,6,0.0,0.3888888888888889,0.1111111111111111,1.2506261536419554,0.16666666666666666,0.6857142857142857,1,0.35294117647058826
18830223bb3004c959c6e14660085ab,28,14,14,0.9241551100000001,0.7838667900000001,0.061000782142857146,4621.532889234568,20,10,10,34,5,0.037037037037037035,0.35714285714285715,0.21428571428571427,5.235949870225317,0.14285714285714285,0.6666666666666666,2,0.15384615384615385
318109c8582f248cab33d097127e691,28,12,16,0.43396307,2.4078090499999996,0.10149186142857143,4423.917208796296,17,4,13,33,5,0.0,0.375,0.0,1.2010921133730779,0.0625,0.6666666666666666,1,0.26666666666666666
bc1q06726101d52b4484a450fce56dc65d,23,9,14,0.5274778699999999,3.1191205700000006,0.15854775826086956,5870.750761512879,20,5,15,29,5,0.0,0.6428571428571429,0.0,1.5025671085746832,0.07142857142857142,0.6363636363636364,1,0.15384615384615385
1314d378c8d964672a2a775338aed26,20,6,14,0.21011693,3.0714878899999993,0.16408024100000002,6191.237361656141,15,4,11,25,5,0.0,0.5,0.0,1.3230134133039169,0.07142857142857142,0.5263157894736842,1,0.3076923076923077
122cfbee287984af194dd805e4472a8,21,6,15,0.23861033,2.57684132,0.1340691261904762,5121.960730376666,21,6,15,25,3,0.0,0.5333333333333333,0.3333333333333333,1.1860689689982324,0.0,0.2,1,0.5714285714285714
1c880916f5304400e8338de1fe45933,24,0,24,0.0,0.34260757000000003,0.014275315416666668,5364.228220886232,21,0,21,25,1,0.0,0.4583333333333333,0.0,1.5216561439416278,0.08333333333333333,0.0,1,0.4782608695652174
3267ba40cabfd47179602c3f2ff52ce,22,11,11,0.6642183799999999,0.31781274,0.04463777818181818,5514.518347861112,20,10,10,27,3,0.0,0.5454545454545454,0.36363636363636365,10.019740452737938,0.09090909090909091,0.3333333333333333,1,0.3
bc1q76904e99ad2246a08888de27d6919d,21,8,13,0.36383872,1.4376300400000002,0.08578422666666666,5955.198189670833,11,4,7,26,4,0.0,0.3076923076923077,0.0,1.606548242155172,0.07692307692307693,0.45,1,0.16666666666666666
bc1q9483135ae1eb483285263cf544a9b0,39,31,8,0.61231215,1.26669381,0.04817964,3220.4819286061406,17,11,6,46,6,0.0,0.375,0.12903225806451613,1.2832963352736597,0.0,0.868421052631579,1,0.42857142857142855
bc1q725f502c1ddc414d9f0048ef6beef2,25,12,13,0.40269286,0.45236617999999995,0.0342023616,4331.6235493923605,21,9,12,31,5,0.0,0.38461538461538464,0.3333333333333333,3.9153478822119183,0.15384615384615385,0.625,1,0.5
168d3ce2b54c94afd8aa2fa77aa9a65,11,3,8,0.07904819999999999,0.6820785599999999,0.06919334181818182,10778.689886423334,8,1,7,13,2,0.0,0.375,0.0,1.3268472187105231,0.0,0.3,1,0.5714285714285714
bc1q88ab980a5f1044d99efc980de2ed0c,26,13,13,0.26221559,0.52849557,0.030411967692307692,4473.405519557334,13,6,7,32,6,0.0,0.23076923076923078,0.07692307692307693,2.0736684764689075,0.15384615384615385,0.76,1,0.25
bc1q253726e15a884415bf4379e5999eb0,22,6,16,0.40455726,0.22110886999999999,0.02843936954545455,5336.601751805555,18,4,14,27,5,0.0,0.375,0.0,12.141096159232113,0.125,0.47619047619047616,1,0.26666666666666666
300a11f6372324d3e818fa64f647dea,29,18,11,1.20469884,1.0759089000000002,0.07864164620689656,4482.856876396429,17,6,11,35,6,0.0,0.6363636363636364,0.05555555555555555,1.9848873262466016,0.18181818181818182,0.7857142857142857,1,0.2
bc1q1edb93de4dff4809be9f6047a71f97,18,11,7,1.2445553800000002,0.74587534,0.11057948444444445,6854.3648697,13,6,8,24,4,0.0,0.5714285714285714,0.09090909090909091,3.249148606393242,0.14285714285714285,0.8235294117647058,1,0.3333333333333333
18799ac1681a24c99a9632759e5702e,24,10,14,0.29156318,0.3765344,0.027837399166666665,4802.2745683847825,14,7,7,29,4,0.0,0.35714285714285715,0.2,2.3618198884165222,0.0,0.43478260869565216,1,0.3076923076923077
1a6e543097aa7421d84fbaaa1b4ba3f,23,9,14,0.23138132999999997,0.47270363000000004,0.03061238956521739,5462.527874720455,23,3,20,27,4,0.0,0.8571428571428571,0.0,1.5898582160461712,0.0,0.5454545454545454,1,0.6153846153846154
1c04d4676fe334e21a1525074ccf3d1,25,9,16,0.60563854,0.25140297,0.0342816604,4843.377927398611,20,5,15,31,5,0.0,0.4375,0.0,8.487836399215373,0.0625,0.5833333333333334,1,0.5333333333333333
3d22708e6075e427388c4cd75033808,28,14,14,0.8786886600000001,0.31490165,0.042628225357142856,4464.20275501358,13,3,10,32,4,0.0,0.35714285714285715,0.0,5.9382537279529615,0.07142857142857142,0.6296296296296297,1,0.38461538461538464
bc1qced4f5ceb4bf46918124b339accbaf,44,26,18,0.5513084300000001,0.75991163,0.029800455909090907,3014.7674966027134,27,11,16,53,7,0.0,0.5,0.07692307692307693,1.7447073239413626,0.0,0.6976744186046512,1,0.47058823529411764
32ac89369ba4549528d2489ede0c71f,18,7,11,0.6548281,0.40729817999999995,0.059007015555555556,7501.765319262745,18,5,13,22,2,0.0,0.5454545454545454,0.14285714285714285,4.890374667384232,0.09090909090909091,0.11764705882352941,1,0.3
bc1q5b313615e3ca496eb44f6404254f40,16,3,13,0.34697971,0.16627392000000002,0.032078351875,7445.5424905477785,17,3,14,20,4,0.0,0.46153846153846156,0.0,18.871172306695506,0.23076923076923078,0.26666666666666666,1,0.25
bc1q99e95b5cd0cd4eafb93d53fd217710,40,28,12,1.94003427,0.72724946,0.06668209324999999,3279.48706037906,28,12,16,48,6,0.0,0.8333333333333334,0.14285714285714285,6.975020992311179,0.08333333333333333,0.7692307692307693,1,0.5454545454545454
35aa766c83e5943e6abd61697b647af,30,15,15,0.73691814,0.10336160000000001,0.02800932466666667,4047.046791605172,14,5,9,35,5,0.0,0.4,0.06666666666666667,14.89734349787035,0.2,0.6896551724137931,1,0.21428571428571427
bc1qd2a783a6ad8a4dfa815e4e8ed8e4b7,28,16,12,0.35009154,2.41337106,0.09869509285714285,4029.5793230746913,9,4,5,32,4,0.0,0.25,0.0625,1.5035485990056252,0.0,0.7777777777777778,1,0.45454545454545453
bc1q941d0d83f115449f9d0805e52af851,27,15,12,1.4909272,0.66493828,0.07984686962962963,4576.327577422437,21,10,11,34,4,0.0,0.3333333333333333,0.13333333333333333,5.352276453468311,0.25,0.7307692307692307,1,0.5454545454545454
11ee1dfc56dbd4e79bf4cd426a05ec1,25,10,15,0.32992143,3.14489303,0.1389925784,5106.2182088555555,19,7,12,32,5,0.0,0.4666666666666667,0.1,1.4755708052218772,0.06666666666666667,0.5416666666666666,1,0.42857142857142855
1e932ff84a2a0430f9529eed14bf11f,37,18,19,1.50526195,0.28229306000000004,0.048312297567567566,3583.2328443078704,23,8,15,43,5,0.0,0.3684210526315789,0.1111111111111111,17.569865955862582,0.05263157894736842,0.5833333333333334,1,0.2777777777777778
1a4531678f2aa42968758ba7932a908,21,10,11,0.84992603,2.3002580399999997,0.15000876523809523,6191.003890021666,18,8,10,28,5,0.0,0.5454545454545454,0.2,1.3334372761514126,0.09090909090909091,0.5,1,0.4
bc1qdb64014687a1416693702842c358da,24,13,11,0.31010631,0.21521951,0.021888575833333337,5754.248304539855,16,4,12,29,4,0.0,0.5454545454545454,0.0,2.351456672762726,0.09090909090909091,0.5652173913043478,1,0.2
bc1qee443c10468e49d2b2047ad511a188,20,7,13,0.43080666999999995,0.11563622,0.0273221445,6126.334854449124,15,3,12,24,3,0.0,0.6153846153846154,0.0,10.088146782770032,0.07692307692307693,0.5263157894736842,1,0.4166666666666667
1672e00f7624848d0b11494212abf5e,30,20,10,0.7283369700000001,0.86543209,0.05312563533333334,4093.727732161494,23,13,10,41,7,0.0,0.6,0.1,1.8724760946409578,0.1,0.4482758620689655,1,0.4444444444444444
364f71d429ea44521bc0af5650287c2,47,31,16,2.48463783,0.32842806999999996,0.0598524659574468,2820.925108189855,19,9,10,55,7,0.0,0.25,0.06451612903225806,10.041097962932943,0.0625,0.8260869565217391,1,0.4
bc1q3b2419560e90485b8796681d440297,23,12,11,6.6598073499999995,1.46358307,0.35319088782608693,5564.04926171591,16,4,12,27,3,0.0,0.5454545454545454,0.08333333333333333,9.010196453371112,0.18181818181818182,0.5,1,0.3
319f50f53d375439693d2e6db64cafa,28,13,15,0.42418425000000004,0.5343737,0.0342342125,4771.652986259876,18,6,12,34,5,0.0,0.3333333333333333,0.07692307692307693,2.4186618227293053,0.06666666666666667,0.6296296296296297,1,0.42857142857142855
bc1q7454e79021334954bf3bb4da5e52ff,23,6,17,0.07745147,0.17179576000000002,0.010836836086956523,5071.412849697727,17,3,14,27,4,0.0,0.47058823529411764,0.0,2.492687024003086,0.058823529411764705,0.5,1,0.4375
301bcdbdebc8242f79e9b67d754c18a,34,13,21,0.93720833,0.55024821,0.04374872176470588,3797.45961154596,26,7,19,40,4,0.030303030303030304,0.47619047619047616,0.07692307692307693,16.458155414227978,0.09523809523809523,0.36363636363636365,2,0.35
bc1q92ba76280e9048218972b128e45fea,36,17,19,1.0564619,0.8092403200000001,0.051825061666666665,3766.0878375861903,30,12,18,43,6,0.0,0.5789473684210527,0.23529411764705882,4.375145308121151,0.05263157894736842,0.5428571428571428,1,0.3888888888888889
3bf00fd17ccc44ec2ac269798f18ba2,20,6,14,0.06673394,0.23292886000000002,0.01498314,6289.033251747369,19,6,13,23,3,0.0,0.5,0.3333333333333333,2.346383075989837,0.07142857142857142,0.42105263157894735,1,0.46153846153846156
3f9e9475ee8a6435d9d64e849dfdfa9,23,7,16,0.19897006,1.06068632,0.05476766869565217,4479.879083206818,15,6,9,26,3,0.0,0.375,0.2857142857142857,1.4544256186654618,0.0,0.5454545454545454,1,0.6
384a725a004e84fd0841eeeb95a623c,20,7,13,0.32357311,1.18651478,0.0755043945,6538.177857567544,21,6,15,26,5,0.0,0.7692307692307693,0.14285714285714285,1.7025242447316418,0.0,0.6842105263157895,1,0.5
17029977c4a594bfc97e03380fa9699,22,13,9,0.8983114900000001,1.881501,0.12635511318181816,5663.819084739683,14,5,9,26,3,0.0,0.5555555555555556,0.15384615384615385,1.616219391709252,0.0,0.5714285714285714,1,0.625
199693b05abfb419d8bbb2b29e7e145,39,22,17,1.2737315400000002,2.08930893,0.08623180692307693,3301.731612117105,20,9,11,47,7,0.0,0.23529411764705882,0.09090909090909091,1.4184299542161796,0.11764705882352941,0.6578947368421053,1,0.375
bc1q285784cbd51441c988b23d152344b7,38,18,20,0.59364482,1.0648602100000002,0.043644869210526314,3228.9345243333332,24,11,13,47,6,0.0,0.4,0.16666666666666666,1.404571450479148,0.2,0.6756756756756757,1,0.42105263157894735
bc1qb2064db733c14f96b8f128aba75a38,24,7,17,0.6433857199999999,0.9275437800000002,0.06545539583333333,5579.263411449276,20,4,16,29,4,0.0,0.5294117647058824,0.0,4.716121441454249,0.11764705882352941,0.5217391304347826,1,0.375
32e2cf55a40874c499a441a471c025c,35,18,17,0.41035152,4.79326141,0.14867465514285716,3686.1842867205887,31,9,22,43,7,0.0,0.7647058823529411,0.1111111111111111,1.5688521880568553,0.0,0.7647058823529411,1,0.5625
bc1q4706608307814e35a5494a2fb5e20a,33,19,14,1.0333991400000002,0.7111790699999999,0.052866006363636364,4090.4369827890623,26,11,15,42,7,0.0,0.5,0.10526315789473684,4.9623490505371946,0.07142857142857142,0.8125,1,0.38461538461538464
351115c60d0034eb887b365448f530e,23,12,11,0.41578321999999995,3.8527814300000003,0.18558976739130434,5632.907339862121,20,6,15,30,5,0.0,0.8181818181818182,0.0,1.215771957968832,0.09090909090909091,0.6818181818181818,1,0.3
bc1q8b45850283c44e649f7f01e8a8c82d,33,15,18,0.37623528,1.72143926,0.06356589515151514,4095.827571844271,23,6,17,39,5,0.0,0.3888888888888889,0.06666666666666667,1.8524335207615719,0.1111111111111111,0.71875,1,0.29411764705882354
15aa54aca48ea42388fd8a985520ec2,26,15,11,0.41183383,0.39704607000000003,0.031110765384615383,5139.525098846,22,12,10,33,6,0.0,0.5454545454545454,0.26666666666666666,4.030007042594962,0.09090909090909091,0.8,1,0.6
3d828e79afbe84978b829b70184ce88,18,10,8,0.7962948700000001,0.08983878,0.04922964722222222,6290.600293865686,11,5,6,22,4,0.0,0.375,0.2,15.509300988165277,0.125,0.7058823529411765,1,0.42857142857142855
3f760390543b44af59897d7be2fbac1,20,7,13,0.14606544,0.27930322,0.021268433,6374.5733550543855,12,6,6,24,4,0.0,0.15384615384615385,0.2857142857142857,1.6258780321425985,0.0,0.6842105263157895,1,0.5
bc1qa0c8a15f131d4f52b05421765eb88d,33,7,26,0.35219753,2.85688197,0.09724483333333334,3680.780516758854,24,3,21,37,3,0.0,0.11538461538461539,0.0,31.2771626638032,0.15384615384615385,0.125,1,0.4
bc1qcc3254b6d6e341288b4e71010517a2,21,9,12,0.6212833799999999,0.39919294999999994,0.04859411095238095,6030.76055181,9,4,5,26,4,0.0,0.08333333333333333,0.0,3.3369435290239218,0.08333333333333333,0.55,1,0.45454545454545453
130b76ebf5f2f4c4b8c0e8c46cd8455,30,15,15,0.42381836000000006,5.0568662600000005,0.18268948733333332,3879.998494091954,23,11,12,37,6,0.0,0.4666666666666667,0.26666666666666666,1.6562848544365951,0.13333333333333333,0.6551724137931034,1,0.2857142857142857
bc1q2c2e28eeb7d342568cd9a00e5178bb,31,16,15,1.2747134,2.8693807699999994,0.13368045709677417,4132.454679677778,18,5,13,37,5,0.0,0.6,0.0,9.55843090540613,0.0,0.7333333333333333,1,0.42857142857142855
1b2b3c6d13add413e90ff49a8fa7bbe,19,6,13,0.09330688,0.9550745199999999,0.05517796842105263,7035.4785665685185,20,3,17,23,2,0.0,0.8461538461538461,0.0,1.430866355010803,0.07692307692307693,0.5,1,0.4166666666666667
1b9917f4478474f0cb951da06a0da76,17,5,12,0.08934672999999999,0.63561688,0.042644918235294114,7513.278200507292,19,7,12,22,5,0.0,0.5833333333333334,0.4,1.4283595749352456,0.08333333333333333,0.5,1,0.36363636363636365
320c3a9a24892443f8f9f65b3bca0bc,56,39,17,1.6753912899999996,0.22995341000000002,0.0340240125,2395.477706759394,27,13,14,67,8,0.0,0.47058823529411764,0.05128205128205128,16.266147123404,0.11764705882352941,0.6545454545454545,1,0.4375
330b8bcd10d47443f8bcf1ae5143716,47,32,15,2.0026364500000002,0.29769330999999993,0.04894318638297872,2689.9300399336958,21,9,12,54,6,0.0,0.26666666666666666,0.09375,8.003265432458871,0.2,0.6739130434782609,1,0.42857142857142855
bc1qa34504ac565c422791d99da8b5e6fc,32,15,17,0.50741137,1.15434689,0.051929945625,4175.851105488172,26,10,16,39,6,0.0,0.5294117647058824,0.2,2.1698001012589962,0.11764705882352941,0.6451612903225806,1,0.3125
bc1q19b085a890914c489694a121e22f63,30,8,22,0.22181725999999996,2.6902852499999996,0.09707008366666667,4248.929381882758,25,5,20,36,6,0.0,0.18181818181818182,0.0,6.326121652348292,0.045454545454545456,0.41379310344827586,1,0.2857142857142857
1a0da40f2b9d147e4adbd49fb7001ba,18,4,14,0.07716903,1.3722592999999998,0.0805237961111111,7341.573571321568,18,2,16,21,3,0.0,0.7857142857142857,0.0,1.600795436866927,0.0,0.29411764705882354,1,0.46153846153846156
37370514b971b40168cb420beadb6c3,21,11,10,0.20128850999999998,0.10766777,0.014712203809523807,5968.072750993333,19,7,12,27,5,0.0,0.5,0.18181818181818182,2.959487282589518,0.1,0.6,1,0.3333333333333333
36b91b6b906e745b6a82dd45728c6a9,37,20,17,1.13012179,0.38086125,0.04083737945945946,3651.461808277315,26,7,19,44,5,0.0,0.6470588235294118,0.05,8.78575799184585,0.11764705882352941,0.7222222222222222,1,0.375
36e3c75ef61404a759978a991c685b1,29,19,10,0.8290874900000001,0.9701877700000001,0.06204397448275862,4319.536806867857,21,11,10,36,7,0.0,0.5,0.15789473684210525,1.2631623438927555,0.1,0.7142857142857143,1,0.3333333333333333
14419babb9df1486fa663d8389cd33c,26,12,14,0.8315809100000001,0.21680102999999998,0.04032238230769231,4962.741100726,16,4,12,31,4,0.0,0.42857142857142855,0.0,12.708797366938327,0.07142857142857142,0.76,1,0.5384615384615384
bc1q63a798a7709a4b63a18a4ba3eb1b9d,24,10,14,0.43970746,1.4393205,0.07829283166666666,4918.7564701,16,4,12,29,4,0.0,0.5,0.0,1.3835152577665253,0.0,0.6956521739130435,1,0.38461538461538464
bc1q4a4b1108eee148d49c72e6965e55bc,28,17,11,0.8494268600000001,0.26544374,0.03981680714285714,4677.923379260494,19,9,10,33,4,0.0,0.5454545454545454,0.17647058823529413,4.599444046957894,0.0,0.48148148148148145,1,0.5
3c205edc1a21d49158b1bf8d803f459,32,18,14,0.7340643700000001,0.9465047700000001,0.052517785625,4127.462152647312,17,6,11,37,3,0.0,0.2857142857142857,0.1111111111111111,1.59406398234591,0.14285714285714285,0.6129032258064516,1,0.5384615384615384
10d2a06cefc044cfd9f1cba58f10c88,19,6,13,0.19403317999999997,1.07929974,0.06701752210526317,6791.657611598148,16,2,14,22,3,0.0,0.5384615384615384,0.0,1.4296133291266888,0.0,0.4444444444444444,1,0.5
3686c27faeafa4f71a9dfd5531d7c95,30,17,13,0.97440964,1.75979239,0.09114006766666667,4034.115196595977,17,5,12,35,5,0.0,0.5384615384615384,0.058823529411764705,1.7780318497949965,0.15384615384615385,0.7586206896551724,1,0.4166666666666667
30d2a7c9422a6409c95ca27c76169ed,32,21,11,1.21265644,0.1238309,0.041765229375,4271.525550706452,24,15,9,40,7,0.0,0.45454545454545453,0.23809523809523808,12.390546805440422,0.09090909090909091,0.8064516129032258,1,0.4
3cc842ade025a41c99f8fe1aec804f4,27,10,17,1.41103826,0.29970186000000004,0.06336074518518518,4584.1441833506415,20,5,15,33,5,0.0,0.6470588235294118,0.0,13.52631694584571,0.0,0.5,1,0.5
369bb952aca4d49c08595b0c8646017,35,21,14,2.9151950900000005,0.1560482,0.08774980828571428,3745.2494239220587,25,11,14,42,6,0.0,0.5,0.19047619047619047,42.2332227552877,0.0,0.7058823529411765,1,0.5384615384615384
bc1q8d806d91204d4e16953774b507c0d6,8,4,4,0.07533928,0.07476788000000001,0.018763395,15951.266070900001,7,2,5,10,2,0.0,0.75,0.25,1.479528248493359,0.0,0.42857142857142855,1,0.3333333333333333
1e760ffeeee49401e9458b83db36d69,23,10,13,0.51101525,0.15431874,0.028927564782608692,5814.680238484849,20,6,14,29,4,0.0,0.5384615384615384,0.1,12.7204442609004,0.15384615384615385,0.5909090909090909,1,0.3333333333333333
1b7769983a3bc4565941ccaae860fa9,26,16,10,0.8954330699999999,0.13976771999999998,0.039815415,5173.109406376667,10,5,5,31,5,0.0,0.3,0.0625,16.515392423947816,0.1,0.72,1,0.3333333333333333
1582c8ef4708748c29440416237bd7a,29,16,13,2.4573262600000003,0.6661713,0.10770681241379311,4230.851799466666,23,12,11,39,6,0.0,0.6153846153846154,0.1875,18.6114753434012,0.07692307692307693,0.5357142857142857,1,0.3333333333333333
bc1qa6b8ccec826f4a52b44ef60fdc02df,44,26,18,2.2169214299999997,0.14451526,0.053669015681818186,2911.833229359302,28,13,15,52,3,0.0,0.4444444444444444,0.15384615384615385,26.58636928658519,0.05555555555555555,0.627906976744186,1,0.35294117647058826
bc1qe32b072b4c2047538a3c8e2284a0d7,31,16,15,1.30766857,2.4537153000000003,0.12133496354838709,4289.151838351111,21,5,16,36,3,0.0,0.6666666666666666,0.0625,1.6238707485360364,0.13333333333333333,0.4,1,0.21428571428571427
