transaction_index,txid,wallet,transaction_amount,typical_amount,deviation_ratio,counterparty_count,timestamp,detected
10730,139e295a434f4ed9aa64082a53131669,bc1q0d2d0412b88a487a88ece3a1e9a025,0.1519291,0.01720933,8.828298370709378,1,2026-08-26 00:48:19+00:00,1
10731,3ef9c372cf6c49a5905ce1ddfacc8ec3,bc1q0d2d0412b88a487a88ece3a1e9a025,0.09302817,0.01720933,5.405682266537977,1,2026-08-26 00:53:19+00:00,1
10734,ac3dc493ee7a4d1abe403ca90094b02b,bc1q0d2d0412b88a487a88ece3a1e9a025,0.15254987,0.01720933,8.864370082972435,1,2026-08-26 01:13:19+00:00,1
10735,9ef99c40c9c54012b7342bae192f4fea,bc1q0d2d0412b88a487a88ece3a1e9a025,0.1189713,0.01720933,6.913186045011631,1,2026-08-26 01:16:19+00:00,1
10744,12a8e258f6754c3797939e2dfb5a8e92,bc1q0d2d0412b88a487a88ece3a1e9a025,0.07165487,0.01720933,4.163722236716944,1,2026-08-26 02:20:19+00:00,1
10751,def77f3d24e6427c9e8896a896309165,bc1q0d2d0412b88a487a88ece3a1e9a025,0.14010498,0.01720933,8.141222232358842,1,2026-08-26 02:56:19+00:00,1
10755,6432b0630b3643bcb1c985384d4e8ca4,bc1q0d2d0412b88a487a88ece3a1e9a025,0.07935507,0.01720933,4.611165571233744,1,2026-08-26 03:06:19+00:00,1
10756,81bf53ab3b974d55a3f168c2f9f1f58e,bc1q0d2d0412b88a487a88ece3a1e9a025,0.16589107,0.01720933,9.639600728209642,1,2026-08-26 03:23:19+00:00,1
10757,4a90b0bd5fff435f9b6798150e2e1cee,bc1q0d2d0412b88a487a88ece3a1e9a025,0.09701438,0.01720933,5.637313015672313,1,2026-08-26 03:33:19+00:00,1
11564,99ede9ab2df24421b59f582e01a703a8,12e0533e6d7954e8ba7a983f9d24d9b,0.04796581,0.00626116,7.660850385551559,1,2026-09-01 12:30:27+00:00,1
