txid,n_inputs,n_outputs,n_unique_input_addresses,n_unique_output_addresses,total_input_btc,total_output_btc,input_output_ratio,fan_in_5plus,fee
a35e0ad35176440ba12dccc0e66b0897,1,1,1,1,0.04705837,0.04692144,1.0029182821328586,0,0.00013693
6153c8ee8c24467fb3de8e1f3d502b0f,1,1,1,1,0.0321842,0.03208673,1.0030377043718697,0,9.747e-05
ac51b7cfd9af4adc9eae17050379c5fc,1,2,1,2,0.08556167,0.08538826,1.00203084124211,0,0.00017342
59b2a04d772a41c09572dc002d694405,1,2,1,2,0.0557398,0.05561322,1.0022760775225747,0,0.00012658
bfa1b2fb447c4f669a0b1585b83de51b,1,2,1,2,0.03304814,0.0329211,1.0038589233045068,0,0.00012703
965436d2892543579cf1880118515b4e,1,2,1,2,0.02262702,0.02255544,1.0031735137953417,0,7.159e-05
cb344f1e7672420b9caa3c78b2ef4c96,1,1,1,1,0.12567953,0.12543174,1.0019754967921197,0,0.00024779
98fd428fc5b447af92a00b566a4b70c7,1,1,1,1,0.03897811,0.03888113,1.0024942690708836,0,9.698e-05
74397a0b615b4949a6d458f37e5f3a84,1,2,1,2,0.04543553,0.04531578,1.002642567335264,0,0.00011975
bc5e1b52fc2f4194898b54b00a63876d,1,2,1,2,0.01775471,0.01768026,1.0042109109255182,0,7.444e-05
f457c72de71c4de2991864ae3c360c4d,1,2,1,2,0.03342653,0.0333081,1.0035555915828283,0,0.00011842
64d498fb53ec4be3828491aff8b120d4,1,2,1,2,0.03206146,0.0319859,1.002362290884421,0,7.555e-05
c50120e7104b486ab0ae109bc62ccb92,1,2,1,2,0.00917323,0.00912668,1.0051004308247906,0,4.655e-05
03b22a576b7b4a1c952474121c5d5023,2,2,2,2,0.05279792,0.05273214,1.0012474365728379,0,6.578e-05
cf8e54550cdb49bfb657835c29ef9699,1,2,1,2,0.0206577,0.02063142,1.0012737853235503,0,2.629e-05
dcf584b6e41741da9080ccfc8dfc8b40,1,1,1,1,0.02664801,0.02661986,1.0010574811437776,0,2.815e-05
c059025b0f5d430fba9bb6a6805e4de3,1,1,1,1,0.0987153,0.09841428,1.0030587024565947,0,0.00030102
5285d62179ec44339b9ff836a01a7bd4,1,2,1,2,0.02706903,0.0270454,1.0008737160478307,0,2.364e-05
95087bd996e549e8bb42ffda4f1e9cd7,1,1,1,1,0.21071868,0.2104365,1.0013409270730125,0,0.00028218
5744105822294a3dbc7470238d2d09ae,1,2,1,2,0.02884984,0.0288246,1.0008756409455812,0,2.524e-05
24aa9a855dce437d9d3131f654c1247c,2,1,2,1,0.01626968,0.01621203,1.003556001315073,0,5.766e-05
c336e2f412db40a28549e19f510f6b46,2,1,2,1,0.29448884,0.29423952,1.0008473368907074,0,0.00024932
9f124721ec644b518f156734f7f35658,3,1,3,1,0.0776262,0.07733803,1.0037261099099628,0,0.00028817
cd2f0f9f4ac149cbb42ba6172356f5b4,1,1,1,1,0.02889504,0.02880571,1.003101121270748,0,8.933e-05
dd8ce96a4d4148a9b4b36ae8e7df40b7,1,1,1,1,0.01362278,0.01358067,1.0031007306708726,0,4.211e-05
35d20df83eb244af9014956bf90ab2b4,1,2,1,2,0.28825639,0.28793668,1.001110348289075,0,0.0003197
375469fd3525475aa88c65e67a67b67c,1,2,1,2,0.03617775,0.03605492,1.0034067472622323,0,0.00012284
3274b4a5c2be4afb8dee87b5344cb10b,1,2,1,2,0.01597581,0.01590974,1.00415280199425,0,6.607e-05
1d0e4237240d4bd68ee31926e4456af6,1,1,1,1,0.03968256,0.03954821,1.0033971196167917,0,0.00013435
c51478749d7d416f8f10666f06120259,1,1,1,1,0.0190592,0.01901622,1.0022601757867755,0,4.298e-05
3aebf322fa00427ab0254ddcc9fc3a09,1,2,1,2,0.02188838,0.02184844,1.0018280481352444,0,3.993e-05
5eeee59c1b6546b7a0ed6f410d833d69,1,1,1,1,0.01042455,0.01038741,1.0035754822424454,0,3.714e-05
f61b73e284d6447a9023030ff2805134,1,1,1,1,0.27069411,0.26981074,1.0032740357185188,0,0.00088337
88d53e5df07346c18c67deeac45d58cb,1,2,1,2,0.07205219,0.0717853,1.003717892103258,0,0.00026689
d5785d532c8c4024a0a0111bcabcffc2,1,3,1,3,0.06838794,0.0682986,1.0013080795213956,0,8.935e-05
4ec71007ef3d45ce8170ac7dd3aad530,1,2,1,2,0.14292701,0.14259798,1.0023073959392692,0,0.00032903
6d8a00a3723e431fb00a486b101d7b5c,1,2,1,2,0.06843659,0.06825012,1.0027321563683698,0,0.00018648
c467b504568444d681e429c351905be6,1,1,1,1,0.06057803,0.06033973,1.003949305043294,0,0.0002383
9c6eac7f36d1466cbdae5b2edb520e22,1,2,1,2,0.00733416,0.00730968,1.003348983813245,0,2.447e-05
d2796d58084e46e3bdfaf350cf2df04e,1,1,1,1,0.05391271,0.05378688,1.0023394180885747,0,0.00012583
933d7ed2cf5b48bb895d67decdd35dbc,1,2,1,2,0.00290177,0.00288436,1.00603600105396,0,1.742e-05
67000065a58a4e32b9aca1988c21ca32,1,2,1,2,0.55346126,0.55138738,1.0037612032397258,0,0.00207387
97cd7551bf324f0087416d85d33c8475,1,2,1,2,0.105458,0.10534937999999999,1.001031045460353,0,0.00010862
8aff344291b4405b8752c145ffa1c64d,1,2,1,2,0.10249652,0.1024138,1.0008077036493128,0,8.272e-05
fa9fac42f92245188a91f5f3e0f506ba,1,2,1,2,0.13627431,0.13585628,1.0030770016667614,0,0.00041803
1431ed18d76245109a5330ab45921180,1,2,1,2,0.03289722,0.03286128,1.0010936883773243,0,3.594e-05
c1e2b9db0e8b47fca2cfa81d933a9166,1,2,1,2,0.01218198,0.01215406,1.0022971747712288,0,2.792e-05
3eb65fdc517e42cd8d0fb19683a4bc0d,1,1,1,1,0.06537178,0.06510617,1.0040796440644566,0,0.00026561
f8caabb81a23402696fc107f29604610,1,2,1,2,0.09492196,0.09484739,1.0007862103532843,0,7.457e-05
02dd6496720a460f9ec1a39ee1dac184,1,1,1,1,0.02361383,0.02355973,1.0022962911714182,0,5.41e-05
f8314cd45a7b4163838ee62c0ec6aeeb,1,1,1,1,0.00940447,0.00936735,1.0039627002300544,0,3.712e-05
3700bb3b8c864911b1a10c4fcfa18673,1,2,1,2,0.09279121,0.09241857,1.0040320900875224,0,0.00037264
41932b4f715348e5a068e9556bc0dfe4,1,1,1,1,0.04165637,0.04156176,1.002276371356747,0,9.461e-05
5a80b23a6fd845218fbf620562c24162,1,2,1,2,0.01848736,0.0184523,1.0019000341420852,0,3.506e-05
6c10dd6262c7422c85b2649295cbbc78,1,1,1,1,0.05421053,0.05405791,1.0028232686021343,0,0.00015262
62965d29f3794d83926c7946c1843043,1,2,1,2,0.0861412,0.08588178,1.0030206639871693,0,0.00025942
12d5834a7eb24e0fa2c7ce8882b1e8f2,1,2,1,2,0.07976656,0.07965621,1.0013853282750962,0,0.00011035
df8bfb4ac42a4d0b8f130397997aadfd,1,2,1,2,0.01796091,0.01790056,1.003371402905831,0,6.035e-05
f4885a339df942dfb889169f7dcfe925,1,2,1,2,0.09515168,0.09509032,1.0006452812441897,0,6.136e-05
1df682c87dd247feb48ef7e6bf89bb02,1,1,1,1,0.02192552,0.02186487,1.0027738559616406,0,6.065e-05
793805b7985b426c9e5405f4a0269162,1,2,1,2,0.27508305,0.27477476,1.001121973502952,0,0.00030829
b84837952ec54951bd3078d8dc75ad91,1,2,1,2,0.05544279,0.05526284,1.0032562568264678,0,0.00017995
ad6ce43aedff4ae1a1807e485472cabe,1,2,1,2,0.02528938,0.0251953,1.0037340297595185,0,9.408e-05
7ff036a77cf54b93a672307c5677cf2a,1,1,1,1,0.13742308,0.13700175,1.0030753621760307,0,0.00042133
7d138e64d72243e4b8b7ccc9be37614d,3,1,3,1,0.04146897,0.04136621,1.002484153128846,0,0.00010275
d87026abe3354976b83514344dc7e08a,1,2,1,2,0.02893061,0.02886892,1.00213690016807,0,6.17e-05
bb6c109d4dce47488f98ad1f30649c7e,1,2,1,2,0.06949657,0.06928786,1.0030122159928159,0,0.00020872
1135a94e0ca8434694b7be6b63cf3819,1,1,1,1,0.02452613,0.02450365,1.0009174143443937,0,2.248e-05
4ab6c9dbb4b94750ac6782436c531aae,1,1,1,1,0.04134735,0.041264,1.002019920511826,0,8.335e-05
70c16cb8a50d4bf2bc4f77a7bad32b3c,1,2,1,2,0.08187222,0.08155446,1.0038962921218533,0,0.00031776
33966b5cbbd64f54a200ac7179db08fa,1,2,1,2,0.01829719,0.01823606,1.0033521495323006,0,6.114e-05
0d552a779558432e9f93d2370783598a,1,1,1,1,0.01102769,0.01100171,1.0023614510835135,0,2.598e-05
f8ecef753b6642098812317cebe794d8,1,1,1,1,0.05284545,0.05278694,1.0011084181049328,0,5.851e-05
0815ce43cedc45918b0040ec16acd6d4,2,1,2,1,0.07827372,0.07816345,1.001410761679532,0,0.00011028
4a0d4587f1a244ffbd359efb2615591b,3,3,3,3,0.14362386,0.1435074,1.0008115260955184,0,0.00011646
acc9eeb1ace545fb8c48db636df907c2,2,2,2,2,0.0062693,0.006256,1.002125959079284,0,1.331e-05
e32595a29921429e9246c490a37501d1,1,2,1,2,0.18993904,0.1894201,1.0027396247811082,0,0.00051894
8980bf12534745bc9c906e2ad5f3454b,1,1,1,1,0.24893012,0.24792633,1.004048743027818,0,0.00100379
ae8993b6ddfe4102b33a9e380f21cadf,3,1,3,1,0.08267211000000001,0.08236022,1.0037869010063354,0,0.00031188
5bd0718aa6cd420093d828accf8436f2,1,2,1,2,0.06055152,0.06046186,1.0014829183223937,0,8.966e-05
3e59aae6fc69416dbc1dfafea9acf25f,2,2,2,2,0.04738614,0.04719472,1.0040559621923808,0,0.00019142
f13c39d2d5f5450bb44e3723a4de1625,1,2,1,2,0.61467553,0.61369662,1.0015951041086066,0,0.00097891
613a044d960343518caa428b527a751e,1,2,1,2,0.12033076,0.12005338,1.0023104722249385,0,0.00027739
bc91567153b445f7b9bafb83c155084e,1,1,1,1,0.08781758,0.08767766,1.001595845509563,0,0.00013992
9b7674d3d64d485587ae1facb237c397,3,1,3,1,0.06444072,0.06430534,1.0021052683960618,0,0.00013538
1122837e67e94a8c975a20d0ea4d8cbd,1,2,1,2,0.02674365,0.02666592,1.0029149566187854,0,7.773e-05
7762aba2825045bdaca21049866fda99,1,1,1,1,0.05170038,0.05165099,1.0009562256212319,0,4.939e-05
1479a8c6ee09499dae88be1d9b41efc0,1,2,1,2,0.01776755,0.01770748,1.0033923517067362,0,6.008e-05
33152ccc58b64f5ebd6832584b3ea106,1,1,1,1,0.13006638,0.12960398,1.0035677916681263,0,0.0004624
cd921f56c09a4db3ab322833d2b19ff8,1,1,1,1,0.03405794,0.03393175,1.0037189358049616,0,0.00012619
05ce6f3348d547d9b0a12151dd2ed284,1,1,1,1,0.00870892,0.00868628,1.0026064091878228,0,2.264e-05
1b8ce9afa3ea45db996d44ae0bf6f189,1,1,1,1,0.08675512,0.08646492,1.0033562744289823,0,0.0002902
72a3893bf1d9453bab5b3bbbfeb6c794,1,1,1,1,0.0399982,0.03995341,1.0011210557496844,0,4.479e-05
41d83fc5c78f4b388254d2cd9fe1ec57,1,2,1,2,0.06024758,0.06012174,1.0020930864609041,0,0.00012584
8301a5724f674ac5a0f9d40cf1587703,1,1,1,1,0.04618214,0.046076,1.0023035853806754,0,0.00010614
2f8d016f45a74ca5ac696dd9a0eefb20,1,2,1,2,0.01385839,0.01383708,1.001540064811362,0,2.132e-05
62761fe1ca1042a39b1c976de0b2f8f5,2,1,2,1,0.01029854,0.01026163,1.0035968944504918,0,3.69e-05
2f5358bda0134573b804498dda082bae,1,2,1,2,0.0402634,0.04022042,1.0010686114167877,0,4.299e-05
331cfcefcff44d8784953425195af15e,1,2,1,2,0.10900665,0.10874626,1.002394473152456,0,0.0002604
5c7fd8b2e15849899bc121322d329544,1,1,1,1,0.19928227,0.19915095,1.0006593993149417,0,0.00013132
c47e4759166b4a7da74433fc1b6073be,1,2,1,2,0.04649208,0.0463371,1.0033446201855531,0,0.00015498
3cb103eefd80411e82aa3428b0eef9f0,1,2,1,2,0.16585811,0.16529852,1.003385329765808,0,0.00055959
2e5ee81c40694326952d3ed6462bfb22,1,2,1,2,0.03825874,0.03821212,1.0012200317595568,0,4.663e-05
8d7fb1893358411982c4fd814b91aa56,1,2,1,2,0.02560396,0.02549714,1.0041894894878405,0,0.00010682
e9570fd6aa5d467b9f2e239f08c6a835,3,1,3,1,0.08126943,0.08095784,1.0038487933966618,0,0.00031159
f1628ed6035d40be89a082e0ca034922,1,1,1,1,0.16440605,0.16405869,1.00211729107431,0,0.00034736
8e31c9b1f35a4200be33aab1a0916040,1,2,1,2,0.03480841,0.03476608,1.0012175660874048,0,4.233e-05
7a7d118ce009450ebf925c8246744589,1,2,1,2,0.0593376,0.05920798,1.0021892319244805,0,0.00012963
73f577c62eda4487a98189b7e79382bb,1,1,1,1,0.0483309,0.04823199,1.0020507136446164,0,9.891e-05
54efb9895dfc4d3980d6b2804a1403f5,1,2,1,2,0.07338281,0.07326548,1.0016014363107975,0,0.00011732
ecb835044e3a4c7ba98708062787d5d4,1,1,1,1,0.0200001,0.01993711,1.0031594348428634,0,6.299e-05
b5c2dbfc32a14ef4bfdcbc0121e73bce,1,2,1,2,0.11362733,0.11344314,1.0016236327732113,0,0.00018418
0ef034879c2a447c92bf558989757653,1,2,1,2,0.04001027,0.03997174,1.0009639310172638,0,3.854e-05
106636d8f7ea4a91b9c008384d76b6a6,1,1,1,1,0.08530874,0.08519653,1.0013170724206724,0,0.00011221
680a7f0fcd8f440f8cddc679e9a83ca6,3,1,3,1,0.07880916,0.07858576,1.002842754208905,0,0.00022339
e16b76f659ad4bcfa31b511790923371,1,1,1,1,0.07533989,0.07516573,1.0023170133516963,0,0.00017416
02bdbe7d71114dee973bb16b6f6065ac,1,1,1,1,0.02251651,0.02246464,1.0023089619953847,0,5.187e-05
fb840854e22b47b29ddb6a2d67e4f315,1,1,1,1,0.01141478,0.01137522,1.0034777349361155,0,3.956e-05
c02e274bc05f442f925d196c2715dad4,1,2,1,2,0.08091947,0.08085242,1.000829288721352,0,6.705e-05
b875a07d02b646b7b5cd7d2ff4064436,1,1,1,1,0.0783499,0.07814058,1.0026787617906086,0,0.00020932
9495d391240a40b1b9d658e292dab6db,1,1,1,1,0.02250746,0.02246668,1.0018151324539273,0,4.078e-05
4e0c90e3b96e476c973674de53db909d,1,3,1,3,0.18700256,0.1863648,1.0034221054619756,0,0.00063777
0fb3732e8993460780d63b9191e703a7,1,1,1,1,0.0461704,0.04600052,1.0036930017312846,0,0.00016988
945e94eaadc346b3ba85209a1993d4a4,2,1,2,1,0.1450449,0.14448761,1.0038570089158512,0,0.00055729
6b8eeba7306b405a808b351f9aa96eea,1,1,1,1,0.09547633,0.09511317,1.0038181883749642,0,0.00036316
af8a38f1b2074ff98dd28c4467ed3859,1,2,1,2,0.05869122,0.0585361,1.002649988639489,0,0.00015512
9dca0874ea9448d29a046d4bb6c4af39,3,2,3,2,0.0399774,0.03987158,1.0026540207335652,0,0.00010584
e700c9d23a204319936ad83c04adc74f,1,2,1,2,0.02970027,0.02961288,1.0029510807459456,0,8.739e-05
29ef3d6bda8c4f7ab11096a19b61377e,1,2,1,2,0.12700177,0.12678082,1.0017427715012415,0,0.00022096
c00d3404717a43d08a1ebd1f6b67541a,1,1,1,1,0.05854835,0.05836216,1.0031902520400204,0,0.00018619
672ae0f0a7ee4b978e7123fa3c99b273,1,2,1,2,0.01578264,0.01576354,1.001211656772527,0,1.91e-05
b72427bd5a6e4f9494b70e58dc4e8c5d,1,1,1,1,0.1674474,0.16684927,1.003584852364053,0,0.00059813
7530548033e94f8ca3c9a9edbb3fdcca,2,1,2,1,0.00260002,0.0025834,1.0064333823643261,0,1.663e-05
c2730d3462ac49fc88aa2cfa8c2ecfae,1,1,1,1,0.04378851,0.04360706,1.0041610234673009,0,0.00018145
08fc0598e770403ba2f158b331fd9ce6,1,2,1,2,0.02512186,0.02501482,1.0042790633712335,0,0.00010703
27708a78d991447590855ef32b07523d,1,1,1,1,0.0268625,0.02674799,1.0042810693439022,0,0.00011451
ad0f8cc16f67435294dfbdc42b23621e,1,3,1,3,0.0479945,0.04792299,1.0014921856920864,0,7.15e-05
be7d110e894b406ba44981b038b2ae78,1,1,1,1,0.29687875,0.29600491,1.0029521131929873,0,0.00087384
249edb4d28714259a0c1816e19936082,1,2,1,2,0.01954263,0.01952274,1.0010188119085741,0,1.989e-05
c1ec8fcf11f24148b56d464a2a59f6e2,1,1,1,1,0.03544209,0.03530883,1.0037741267552622,0,0.00013326
75196593d1d0450ca17dedbd5b8cb376,1,2,1,2,0.03331055,0.03326266,1.001439752563385,0,4.788e-05
718d7c1e93634ceb86f1c1d3e0ab6494,1,2,1,2,0.021006,0.02093848,1.003224684886391,0,6.753e-05
96437c8b043e4011829ebfe3ca7dc149,1,1,1,1,0.03550578,0.03544845,1.0016172780474182,0,5.733e-05
3f653f0eb05542978411215dbdbe5f8e,1,1,1,1,0.09439931,0.09413192,1.0028405879748337,0,0.00026739
bbbd34318331434586c6df5ce2c7938f,1,1,1,1,0.04922646,0.04907641,1.0030574771055991,0,0.00015005
a3b7069777ae4fdab9ce484bca8104ba,1,2,1,2,0.01848563,0.01846566,1.001081466895849,0,1.998e-05
82ac85a7b09f462c8d98f4812bb9b38b,1,1,1,1,0.33351475,0.33292888,1.0017597452044413,0,0.00058587
f73d4cd5794d4a12a0065ee8aa68ce64,1,1,1,1,0.00638161,0.00636839,1.0020758778906442,0,1.322e-05
bbe1001bcd0b443f92518b718a1bf838,1,2,1,2,0.02106268,0.0210112,1.0024501218397808,0,5.147e-05
73c5cc26bb6e4568b498a0375b4aaaba,1,1,1,1,0.1186652,0.11822964,1.0036840169690104,0,0.00043556
d4a40e3c9c2a41c09cc0498e8d4fcd87,1,1,1,1,0.03255612,0.03251828,1.0011636531821488,0,3.784e-05
2c412375f1c249f48df06fd55d914586,1,1,1,1,0.02320524,0.02312205,1.0035978643762122,0,8.319e-05
e144dc77236d4b829f65a183cd3ab9f0,1,2,1,2,0.1123985,0.1123033,1.000847704386247,0,9.52e-05
28eb90e885e943c69b33fe9ff815940d,1,1,1,1,0.27856115,0.27815728,1.001451948336567,0,0.00040387
ccaa05f779f44f8a8845d9c925515852,1,1,1,1,0.08882433,0.08871703,1.0012094633916397,0,0.0001073
d111eff90e204e448b70bd090926934c,1,2,1,2,0.16772784,0.16758996,1.0008227223158235,0,0.00013789
d75d7d0e9e0d4248a889da32204fc910,1,2,1,2,0.00605113,0.0060192,1.0053046916533759,0,3.194e-05
319dc4b8ad274259984cb71f4ef78387,2,1,2,1,0.06517788,0.06509765,1.001232456163932,0,8.023e-05
698011a15375488db73ada362f959b41,1,2,1,2,0.18198052,0.18166866,1.0017166417146468,0,0.00031187
526f558e7bc143feac3273a29d56f36c,1,1,1,1,0.07585405,0.07561443,1.003168971848363,0,0.00023962
d8a0b4c4052a4d8898409fa434f0fd02,1,1,1,1,0.09185604,0.09158773,1.0029295408893746,0,0.00026831
0fb6df393b2d4439b556fd11819ad7f1,1,1,1,1,0.09459339,0.09434679,1.0026137614220898,0,0.0002466
16d02f94cba144c5b0218d85bbba5a49,1,2,1,2,0.01628714,0.0162659,1.001305799248735,0,2.125e-05
2df945f56d5f4070ade1e5217a401d68,1,1,1,1,0.0890569,0.08874556,1.0035082318484438,0,0.00031134
5f358be87df44b308a2b3dc3e20791b5,1,1,1,1,0.47283804,0.47226117,1.001221506311857,0,0.00057687
8b59492f8bac4f42ba90701f3627dae0,3,1,3,1,0.17850774,0.17779803,1.0039916640246238,0,0.0007097
86e47bce131a48b089750b31d0e252ef,1,1,1,1,0.05733387,0.05719706,1.0023919061574145,0,0.00013681
973ce561cc8c4a629519d5f5e4b55e8a,1,2,1,2,0.0101174,0.0100958,1.0021395035559342,0,2.161e-05
4a4ec5a50aab4530a7a9cbcb5f07fc1e,1,1,1,1,0.11836296,0.1182753,1.0007411522101404,0,8.766e-05
932db03f47364ee1a3371f849a4b7cf3,1,2,1,2,0.10513846,0.10499264,1.0013888592571822,0,0.00014582
eccbb7c6357a49d6a395878dd3d5fe8d,1,1,1,1,0.01728573,0.0172619,1.0013804969325508,0,2.383e-05
7656ad8b010a442b95289f95a4d09e49,1,1,1,1,0.03946572,0.0393019,1.0041682463188804,0,0.00016382
0832b13601a241918132b7a311e3fc46,2,1,2,1,0.02673316,0.02670408,1.0010889721720426,0,2.907e-05
a1b5e9b8cebc4c7e9ca9c12f6ff6ead7,1,2,1,2,0.03470826,0.0345636,1.0041853279172308,0,0.00014466
73a6a1c32eb54cc295ecb7f0cb10a513,1,2,1,2,0.0320332,0.03190834,1.003913083538661,0,0.00012486
671fbd9518fe427fadb31007a5942d0a,1,2,1,2,0.05209583,0.05189516,1.0038668345949795,0,0.00020066
58e9ba80440f451994241fb504e5b7d1,1,2,1,2,0.02698675,0.0268782,1.0040385888936014,0,0.00010854
043128939d5b46ec921c90e5a98233fd,1,3,1,3,0.00929079,0.00927222,1.0020027566213918,0,1.856e-05
719f0f52e5024efba82468cd6422b546,1,1,1,1,0.02154702,0.02146528,1.0038080099584072,0,8.174e-05
44a7f4dd7f2544e2a87dbc9ddc02f881,1,2,1,2,0.05803068,0.05797576,1.0009472924546396,0,5.493e-05
b043791d4c9e4e978d8cc0cbb5c79d5b,1,2,1,2,0.10573204,0.10561446,1.0011132945242536,0,0.00011759
41e91c5b12b14d05801c9eab782c56b9,1,2,1,2,0.09278597,0.09270132,1.0009131477307982,0,8.466e-05
8a97e03c8b2d473a848e054ce45ebf9e,1,1,1,1,0.03706162,0.03692197,1.003782300890229,0,0.00013965
4c0f38fa134a43c59ee4f604eba3616e,3,1,3,1,0.03700599,0.0368756,1.0035359424660208,0,0.00013038
0c29a59d5bee48b3b9609d1c7fdabc28,1,2,1,2,0.00766986,0.0076449,1.0032649217125142,0,2.496e-05
c4ec41d189c6475f83d6c89ef961f822,1,1,1,1,0.1270459,0.12663516,1.0032434909862316,0,0.00041074
d8b0c9014bf841df851ca99d1b6b4532,1,1,1,1,0.04819447,0.04802888,1.003447717290097,0,0.00016559
8c9a5aa3f7c6404baac48e1ecc0642f6,1,3,1,3,0.01760611,0.01753308,1.0041652693080738,0,7.304e-05
c5458a52e87a437da8763496194ae6b0,1,2,1,2,0.12522088,0.12489758,1.0025885209305097,0,0.00032331
0a80afe7b55945f7bceb4d7a259b15aa,1,1,1,1,0.05786642,0.05770227,1.0028447754308454,0,0.00016415
b0a756b438dd4873b8eea1d92de61fa5,1,1,1,1,0.06669019,0.0664392,1.0037777396476777,0,0.00025099
3ad1deb5c76c4136b955d5e15db2f084,1,2,1,2,0.37183863,0.37157856,1.000699905828797,0,0.00026007
0338316442f9443dba3e267fde4d4b2b,1,1,1,1,0.06771111,0.06766246,1.0007190102163004,0,4.865e-05
2d4dd1cdcd1040699601b3060e5629da,1,2,1,2,0.05868321,0.0585863,1.0016541409851791,0,9.692e-05
3f02dc7c5e904dc9a20ba93a06a53fe7,1,2,1,2,0.04248805,0.0424422,1.0010802927275213,0,4.585e-05
184f5f99e8204a5d928f4e92c6841e62,1,1,1,1,0.03524217,0.03515989,1.0023401665932403,0,8.228e-05
65ee0655ca324a2bb63eced993ba9d65,1,2,1,2,0.07784817,0.07760066,1.0031895347281838,0,0.0002475
92cb24f3dd4a44238a525adb4089a70d,1,1,1,1,0.10350765,0.10328587,1.0021472443423287,0,0.00022178
d2f70adadf6f4b2da100351d782d5acd,1,2,1,2,0.22690053,0.22639234,1.0022447314251004,0,0.00050819
f0f061e7cf8b4e79833ce01b8f1771a2,2,2,2,2,0.00872352,0.00869344,1.0034600802444142,0,3.009e-05
95ce80d651e4497b916a3e76d7d48c77,1,1,1,1,0.03706271,0.03698185,1.0021864779614866,0,8.086e-05
490e79e64a0c48d3a8c21f53a617509c,1,2,1,2,0.01446063,0.01444194,1.001294147462183,0,1.87e-05
ff6dc116aaab4d65b81e50fc6d969580,1,1,1,1,0.02118938,0.02115028,1.0018486752894051,0,3.91e-05
9b8c2b94bdd1480abdff6386b0a8a552,1,1,1,1,0.01781847,0.01775562,1.0035397243239041,0,6.285e-05
8fe6c87d52f64915a499748c6d205549,1,1,1,1,0.06235167,0.06220026,1.0024342341977348,0,0.00015141
15a8ba122f314758a4502b8d664e6d5b,1,1,1,1,0.01760177,0.01758109,1.0011762638152697,0,2.068e-05
2554cf0f24b0445fb5f87c23f55e83ba,1,1,1,1,0.16940233,0.16904313,1.002124901497032,0,0.0003592
ef13a808d5f144928e76d846c8c93ccd,1,1,1,1,0.01470928,0.01466354,1.003119301341968,0,4.574e-05
0ac8250ae6b94934951a2ac582f92e63,1,1,1,1,0.39635045,0.3951033,1.0031565162832101,0,0.00124715
c4e76e9e9e7c468189da868b58aa5c0e,1,3,1,3,0.01865034,0.018629220000000002,1.001133702860345,0,2.112e-05
